does gramercy tavern in new york accept reservations,accept_reservations
is it possible to make reservations in advance for macaroni grill,accept_reservations
can i make a reservation for redrobin,accept_reservations
tell me if per se in nyc takes reservations,accept_reservations
does minnis take reservations,accept_reservations
why is there a hold on my american saving bank account,account_blocked
i'm confused about the reason for my bank account being frozen,account_blocked
what would cause my bank account to be frozen,account_blocked
how come a hold was placed on my 401k account,account_blocked
why was a hold placed on my wells fargo account,account_blocked
set my alarm for 6am tomorrow,alarm
could you set one alarm for 8am saturday and one for 9am sunday,alarm
put in an alarm for 5pm,alarm
make up a new alarm,alarm
set an alarm for me for 10:00 and another one set for 4:00,alarm
is my application processed for credit card,application_status
do you know if my amex card app went through,application_status
how can i track the progress of my credit card application,application_status
i applied for a new credit card; did it process yet,application_status
can you check the status of my credit card application,application_status
"hey siri, tell me the apr on my disney visa",apr
i'd like to know the apr on my visa card,apr
what's my apr on my discovery card,apr
what will the apr on my transferred balance be after the first year on my bank of america credit card,apr
give me the apr for my mastercard,apr
i think you are a bot,are_you_a_bot
are you a live person or a computer,are_you_a_bot
are your real or artificial,are_you_a_bot
are you an ai or person,are_you_a_bot
are you human or a bot,are_you_a_bot
what's my savings balance at chase,balance
how much is the current balance in my td bank savings account,balance
savings account balance at chase bank please,balance
what is my current balance on my home equity line of credit,balance
what amount of money is in my bank accounts,balance
how much do i need to pay on my bills,bill_balance
"for my water and electricity, how much is the bill",bill_balance
i need to know my bill total for my verizon payment due this month,bill_balance
add all my bills for this month and tell me the total,bill_balance
what am i being charged for my water bill,bill_balance
tell me when my bill will be due,bill_due
where should i look for when my gas bill is due,bill_due
when do i need to pay my annual payment for auto insurance,bill_due
i need to know the due date for my credit card,bill_due
on what day do i have to pay my nordstrom bill,bill_due
book me a flight from o'hare to las vegas on deltacom,book_flight
i need you to get me a flight booked from houston to miami on united airlines,book_flight
make delta reservation from madison to atlanta,book_flight
compare fares for al italia from bucharest to tampa returning before thanksgiving,book_flight
book a flight from denver to austin on the 16th and returning on the 20th,book_flight
find me a hotel in seattle with great reviews,book_hotel
help me find a good reviews hotel in la,book_hotel
are there any openings in new york city from april 2 through april 8,book_hotel
find a suitable lodging in vancouver on march 16-19,book_hotel
book me a hotel in new york near the empire state building from marc 2nd to 4th,book_hotel
subtract 100 from 12,calculator
what is 5 x 4,calculator
what is 2+2,calculator
what is 750 divided by 5,calculator
what is 10 + 20,calculator
tell me what is on my calendar for april 1,calendar
read me my schedule for march 2,calendar
what am i supposed to be doing today,calendar
