does gramercy tavern in new york accept reservations,accept_reservations
is it possible to make reservations in advance for macaroni grill,accept_reservations
can i make a reservation for redrobin,accept_reservations
tell me if per se in nyc takes reservations,accept_reservations
does minnis take reservations,accept_reservations
does buffalo wild wings in concord take reservations,accept_reservations
do you know if cheese cake factory does reservations,accept_reservations
does michael's accept reservations,accept_reservations
do they accept reservations at michael's,accept_reservations
what locations of applebee's take reservations,accept_reservations
why is there a hold on my american saving bank account,account_blocked
i'm confused about the reason for my bank account being frozen,account_blocked
what would cause my bank account to be frozen,account_blocked
how come a hold was placed on my 401k account,account_blocked
why was a hold placed on my wells fargo account,account_blocked
why would the bank have frozen my account,account_blocked
i am confused because my account seems to have been blocked for no reason,account_blocked
"my account is blocked, help me figure out why",account_blocked
why does my credit union account have a hold on it,account_blocked
"was a hold placed on my wells fargo account, and if so why",account_blocked
set my alarm for 6am tomorrow,alarm
could you set one alarm for 8am saturday and one for 9am sunday,alarm
put in an alarm for 5pm,alarm
make up a new alarm,alarm
set an alarm for me for 10:00 and another one set for 4:00,alarm
i need you to set alarm for me,alarm
i need an alarm at 8 pm,alarm
i want to make an alarm,alarm
i need an alarm for 6am,alarm
can i turn on the alarm now,alarm
is my application processed for credit card,application_status
do you know if my amex card app went through,application_status
how can i track the progress of my credit card application,application_status
i applied for a new credit card; did it process yet,application_status
can you check the status of my credit card application,application_status
is the processing done on my new credit card,application_status
what is the status of my application for the credit card,application_status
have you heard anything back on my cc application,application_status
"i applied for the credit card, have you processed my application",application_status
has my application for a new credit card been processed,application_status
"hey siri, tell me the apr on my disney visa",apr
i'd like to know the apr on my visa card,apr
what's my apr on my discovery card,apr
what will the apr on my transferred balance be after the first year on my bank of america credit card,apr
give me the apr for my mastercard,apr
what is my apr,apr
tell me what my credit card's apr is,apr
i must know my visa card's apr,apr
"check the apr on my disney visa, please",apr
is my apr for my credit card available,apr
i think you are a bot,are_you_a_bot
are you a live person or a computer,are_you_a_bot
are your real or artificial,are_you_a_bot
are you an ai or person,are_you_a_bot
are you human or a bot,are_you_a_bot
am i talking to an actual person,are_you_a_bot
can you specify if you are a human or a computer,are_you_a_bot
are you an automated assistance,are_you_a_bot
so are you a real person,are_you_a_bot
are you a real human being,are_you_a_bot
what's my savings balance at chase,balance
how much is the current balance in my td bank savings account,balance
savings account balance at chase bank please,balance
what is my current balance on my home equity line of credit,balance
what amount of money is in my bank accounts,balance
is there enough money in my discover account for a new pair of jeans,balance
can you tell me how much cash i have,balance
